Company Name,Symbol,Date,Open Price,Close Price,High Price,Low Price,Volume
Johnson & Johnson,JNJ,09/01/2015,214,467,335,259,3956869
Boston Scientific Corporation,BSX,21/01/2015,161,317,265,88,2806744
Eli Lilly and Company,LLY,25/01/2015,245,469,442,199,9242284
Boston Scientific Corporation,BSX,27/01/2015,391,328,478,464,4664559
Boston Scientific Corporation,BSX,05/02/2015,149,236,308,475,6790214
UnitedHealth Group Incorporated,UNH,05/02/2015,280,496,167,195,1358995
UnitedHealth Group Incorporated,UNH,06/02/2015,92,257,202,424,2729984
Eli Lilly and Company,LLY,07/02/2015,284,98,271,336,7960901
Abbott Laboratories,ABT,09/02/2015,54,156,227,360,6533676
Merck & Co,MRK,10/02/2015,485,92,415,241,7112281
Amgen Inc,AMGN,13/02/2015,105,121,176,58,8362152
Amgen Inc,AMGN,21/02/2015,231,357,153,396,3992000
Johnson & Johnson,JNJ,23/02/2015,392,50,331,142,9107566
Merck & Co,MRK,26/02/2015,445,61,97,55,1551998
Bristol-Myers Squibb Company,BMY,27/02/2015,127,71,259,97,6659631
AbbVie Inc,ABBV,01/03/2015,87,181,180,496,9193717
Pfizer Inc,PFE,07/03/2015,359,211,72,259,7092258
Bristol-Myers Squibb Company,BMY,08/03/2015,87,466,361,305,5515340
Pfizer Inc,PFE,11/03/2015,436,369,267,233,8824443
Merck & Co,MRK,14/03/2015,85,474,237,384,6256895
Amgen Inc,AMGN,20/03/2015,463,134,325,500,1724266
Pfizer Inc,PFE,24/03/2015,308,179,305,321,3895773
Abbott Laboratories,ABT,31/03/2015,322,345,89,326,1554522
Bristol-Myers Squibb Company,BMY,04/04/2015,412,239,488,380,4492545
UnitedHealth Group Incorporated,UNH,05/04/2015,103,247,253,134,3453966
Abbott Laboratories,ABT,17/04/2015,188,183,161,419,3785136
UnitedHealth Group Incorporated,UNH,22/04/2015,395,156,324,249,4650012
Bristol-Myers Squibb Company,BMY,22/04/2015,157,444,431,386,8531933
Eli Lilly and Company,LLY,29/04/2015,307,314,499,79,2778517
UnitedHealth Group Incorporated,UNH,30/04/2015,195,99,223,74,3805900
Pfizer Inc,PFE,02/05/2015,360,362,421,337,3129047
Pfizer Inc,PFE,03/05/2015,107,362,79,379,1908120
Merck & Co,MRK,07/05/2015,138,122,60,254,9018698
Johnson & Johnson,JNJ,09/05/2015,215,117,463,79,567431
Johnson & Johnson,JNJ,09/05/2015,138,240,451,348,5437870
Abbott Laboratories,ABT,18/05/2015,297,206,462,94,3147215
UnitedHealth Group Incorporated,UNH,20/05/2015,283,428,123,201,4347045
Boston Scientific Corporation,BSX,04/06/2015,444,164,180,360,5245623
Abbott Laboratories,ABT,09/06/2015,290,396,292,433,6531567
AbbVie Inc,ABBV,09/06/2015,428,497,406,120,4729044
Boston Scientific Corporation,BSX,11/06/2015,255,350,416,237,5559547
AbbVie Inc,ABBV,12/06/2015,393,269,205,84,9490602
AbbVie Inc,ABBV,14/06/2015,153,343,323,445,5205493
Abbott Laboratories,ABT,22/06/2015,314,349,228,387,8993672
UnitedHealth Group Incorporated,UNH,22/06/2015,284,436,115,79,8292239
