Company Name,Symbol,Date,Open Price,Close Price,High Price,Low Price,Volume
Broadcom Inc,AVGO,16/01/2015,373,275,169,374,914172
Oracle Corp,ORCL,21/01/2015,257,187,452,491,2161694
Broadcom Inc,AVGO,30/01/2015,330,198,237,476,6058652
Apple,AAPL,30/01/2015,352,398,262,362,2107362
International Business Machines Corp,IBM,01/02/2015,147,92,222,136,6910139
Meta Platforms Inc,META,09/02/2015,433,183,485,237,2224273
Microsoft Corporation,MSFT,11/02/2015,300,470,441,283,1490396
Apple,AAPL,18/02/2015,492,228,83,208,7625219
Microsoft Corporation,MSFT,23/02/2015,136,104,359,287,4523082
Meta Platforms Inc,META,01/03/2015,233,345,464,59,8451113
Meta Platforms Inc,META,02/03/2015,392,169,465,345,4976924
Alphabet Inc,GOOG,03/03/2015,116,182,131,349,1150177
Adobe Inc,ADBE,12/03/2015,333,168,228,211,4910308
Oracle Corp,ORCL,13/03/2015,313,293,301,198,9191610
Meta Platforms Inc,META,27/03/2015,456,499,368,391,3008784
Microsoft Corporation,MSFT,31/03/2015,379,371,398,429,3423803
Meta Platforms Inc,META,09/04/2015,467,366,466,210,7329150
International Business Machines Corp,IBM,22/04/2015,275,234,162,398,4748784
Oracle Corp,ORCL,23/04/2015,274,239,69,203,7189411
NVIDIA Corp,NVDA,24/04/2015,221,382,354,414,1493703
Alphabet Inc,GOOG,29/04/2015,325,357,143,62,7494090
NVIDIA Corp,NVDA,30/04/2015,332,72,415,61,6570158
Salesforce Inc,CRM,08/05/2015,192,366,85,66,873811
Broadcom Inc,AVGO,12/05/2015,472,330,145,323,8391031
NVIDIA Corp,NVDA,18/05/2015,358,296,257,413,9315638
Broadcom Inc,AVGO,21/05/2015,431,103,398,390,3923124
Alphabet Inc,GOOG,22/05/2015,82,364,250,79,5059784
NVIDIA Corp,NVDA,24/05/2015,125,414,392,126,9479120
Microsoft Corporation,MSFT,25/05/2015,398,117,53,354,2057136
Broadcom Inc,AVGO,06/06/2015,223,269,497,486,2645919
NVIDIA Corp,NVDA,15/06/2015,187,155,388,68,2102964
NVIDIA Corp,NVDA,22/06/2015,84,474,57,271,5703567
Meta Platforms Inc,META,28/06/2015,189,437,95,411,7751876
Microsoft Corporation,MSFT,01/07/2015,500,263,242,399,5599002
Meta Platforms Inc,META,02/07/2015,327,113,133,133,9664909
Meta Platforms Inc,META,05/07/2015,108,484,470,360,3873018
Oracle Corp,ORCL,05/07/2015,304,491,419,477,4361686
Adobe Inc,ADBE,15/07/2015,240,240,435,170,7195501
Apple,AAPL,15/07/2015,248,328,173,415,1860372
Meta Platforms Inc,META,22/07/2015,400,288,280,60,5894483
Meta Platforms Inc,META,29/07/2015,76,337,51,330,4118698
Meta Platforms Inc,META,01/08/2015,195,444,136,453,6408469
Adobe Inc,ADBE,05/08/2015,458,441,299,237,2572798
Apple,AAPL,07/08/2015,197,103,223,59,8929406
Broadcom Inc,AVGO,11/08/2015,156,226,491,484,2795808
Microsoft Corporation,MSFT,20/08/2015,89,280,178,311,7439655
Meta Platforms Inc,META,24/08/2015,354,469,171,429,3569603
Salesforce Inc,CRM,26/08/2015,206,185,411,446,508552
